system:index,CEC,IntraVarMaxTemp,IntraVarPPT,MAP,MAPVariance,MAT,MATMax,MatMaxVar,PPTSeasonality,SIF2015_mean,Sand,WaterTableDepth,constant,mcwd2015,ppt2015_mean,temp2015_mean,Long,Lat
106,13,1.406509198,147.9488775,2587.167876,353.924294,298.40482,306.61026,0.249905277,0.480010684,-0.038091508,34,-6.4423175,0,0,-0.507743417,1.284056697,-69.3948557,-12.8009928
107,13,1.469947614,147.8297725,2466.848983,323.0658358,298.59552,307.26096,0.273770115,0.515850233,-0.200416572,30,-4.789539,0,0.408248308,-0.570377859,1.245213813,-68.94569806,-12.8009928
108,14,1.86684989,141.7490328,2346.851198,271.5602627,298.78976,308.4273,0.278998778,0.526318165,-0.789538156,34,-4.325857,0,0,-0.913372491,1.312788503,-68.49654041,-12.8009928
109,12,1.898240103,132.4860992,2102.721079,262.9275709,299.13168,308.7185,0.302003905,0.552244275,-1.306115879,37,-2.7523758,0,-20.89565948,-0.9036917,1.110383149,-67.59822513,-12.8009928
110,9,1.555111147,109.3839627,1572.58696,169.8002719,298.79465,307.31973,0.369528336,0.640723381,0.704835834,48,-5.1020956,0,-2.724950921,-1.24677736,2.425462672,-63.55580635,-12.8009928
111,9,1.493633446,110.8465506,1563.212195,147.2678671,298.75882,307.04062,0.304584082,0.658299975,-0.521417246,49,-3.7634368,0,-1.48573175,-0.64970652,2.305333445,-63.10664871,-12.8009928
112,10,1.682351968,119.3958118,1699.539784,229.437148,298.83603,307.57025,0.280947741,0.639595543,-0.563596241,48,-2.9791815,0,-0.738230477,0.046514195,2.119669878,-62.65749107,-12.8009928
113,9,1.683143943,115.1107007,1744.053351,238.6701143,298.70663,307.65646,0.407162644,0.621195175,-0.772569075,47,-8.138134,0,-1.67520016,-1.465497386,2.593484058,-61.75917578,-12.8009928
114,9,1.990669992,147.0751628,1851.011942,246.0934949,298.67087,307.9737,0.426060216,0.752737556,-0.411237281,59,-5.4667845,0,-1.244208438,-1.225997857,1.434790956,-54.12349587,-12.8009928
115,9,1.996626261,144.1431595,1853.003195,217.0158845,298.67163,307.925,0.450077653,0.751517152,-1.153716189,56,-3.8798149,0,0.408248298,-1.110537701,1.495050115,-53.67433823,-12.8009928
116,10,1.944698564,142.7844563,1858.455573,270.2117178,298.84677,308.05484,0.470726086,0.735690198,-1.434360503,59,-2.5206025,0,0,-1.035051053,1.456945884,-53.22518058,-12.8009928
117,9,1.867699189,142.1652601,1887.288253,297.818802,298.7806,307.85025,0.466572248,0.729017815,-2.069342748,62,-4.081362,0,0.408248297,-0.743728528,1.496119126,-52.77602294,-12.8009928
118,16,1.036785683,90.30367902,1735.922037,113.0794812,294.42337,300.3807,0.262942878,0.485767762,-0.299600366,41,-49.91609,0,0,0.75531361,1.820901505,-73.88643212,-12.35183516
119,22,0.897693405,122.4316288,2026.03779,128.9486318,287.33054,294.05853,0.303179882,0.558195176,1.44268413,41,-53.233044,0,0,-0.40391965,1.701601503,-73.43727448,-12.35183516
120,16,1.175594519,146.3975413,2452.797525,144.1338699,293.98996,301.24728,0.160202171,0.553367751,-0.66719377,43,-39.54536,0,0,-0.051181512,2.599520743,-72.98811683,-12.35183516
121,19,0.923577263,99.19217092,1891.109543,94.15624214,289.64288,296.1119,0.240412391,0.505305846,2.40706095,39,-37.554237,0,0,-0.241802931,1.951485604,-72.08980155,-12.35183516
122,18,1.190035959,120.0495012,2536.30675,148.2048547,294.0774,301.6003,0.352525857,0.409454565,-0.225121291,33,-28.13604,0,0,0.087269293,2.093595195,-71.64064391,-12.35183516
123,18,1.441424453,119.2247449,2683.073439,221.8497434,297.59467,306.64908,0.289300797,0.374287715,-0.559944118,29,-12.244614,0,0,0.015462181,1.929103602,-71.19148627,-12.35183516
124,14,1.172384047,135.4266203,3448.624313,199.5496324,297.81708,306.19067,0.254822731,0.356047351,-1.10626835,23,-5.8913703,0,0,-0.6340781,1.430242856,-70.74232862,-12.35183516
125,13,1.208464425,139.6580793,3390.529203,223.3424064,297.6749,306.61142,0.262033803,0.362489611,-1.60146536,26,-7.589049,0,0,-0.543560959,1.444185426,-70.29317098,-12.35183516
126,15,1.392344954,126.9648861,2545.099719,239.5597977,298.0309,307.11072,0.31083912,0.443849214,-0.418398628,36,-8.122268,0,0,-0.63376387,1.560194939,-69.84401334,-12.35183516
127,14,1.590784165,129.242042,2214.386476,261.4967333,298.43924,307.72113,0.27499775,0.515873152,-1.503516951,33,-9.451578,0,0.408248305,-0.420471955,1.505936677,-69.3948557,-12.35183516
128,14,1.649081831,126.9029871,2188.949313,260.9713544,298.73245,307.71036,0.259085166,0.526833114,-0.743504316,34,-5.726527,0,0,-0.673804506,1.49971693,-68.49654041,-12.35183516
129,14,1.616377219,123.2052502,2117.773007,208.9050638,298.81747,307.60403,0.248842282,0.523227205,-0.743504316,38,-5.324091,0,0,-0.868225485,1.310468386,-68.04738277,-12.35183516
130,13,1.783417554,124.8311257,2027.930022,171.6114249,298.8801,308.43457,0.354917621,0.556733987,-0.79205598,38,-4.115752,0,-34.4317126,-1.013833569,1.049502118,-67.59822513,-12.35183516
